Package Name,Old Price,New Price,Sort Order,Show,Section Title,Section Sort,Details
Essential,2060,1990,1,YES,Design & Drawings,1,"1. 2D – Floor Plans
2. 3D Elevation Design
3. Design Development
4. Visual site survey & drawing on the basis of measurement provided by client
5. Soil testing and reporting - Not included"
Essential,2060,1990,1,YES,Civil Construction,2,"1. Floor to floor height - 9’6
2. Steel 500 TMT Bars - Bhuwalka / INDIA GOLD / VRKP
3. Cement Grade 53 - Priya / Chettinad / Penna / Sagar
4. UG Sump built with solid blocks of 6” thickness & waterproof plastered
5. Concrete - M20 grade RMC
6. Solid Block walls - 6” & 4” thickness
7. Internal, external and toilet wall column joints plastering with chicken mesh
8. Waterproofing compound - Dr.Fixit / FOSROC for external walls Crystalline waterproofing
9. Cinder filling in sunken toilets, Heat & Waterproofing in Terrace
10. Steel / concrete lofts - Not included
11. Lintel beams will be provided only wherever required above door and window openings"
Essential,2060,1990,1,YES,Architectural Design,3,"1. Proposed 2D Floor plans
2. 2D Floor plan working drawings
3. 2D Schedule of opening drawings
4. 2D Plan furniture layout
5. Standard 3D Elevation front view
6. Toilet details drawings
7. Staircase detailing drawings"
Essential,2060,1990,1,YES,Interior Design,4,"1. Complete 3D design interiors, only if executed by SayHomes
2. 2D Furniture layout
3. Assisting in interior procurement"
Essential,2060,1990,1,YES,Structural Design,5,"1. Structural Analysis
2. Centre line marking
3. Excavation, Sump, Footings Drawing
4. Columns, Plinth beam, Roof slab, Beam Drawings
5. Shuttering Drawings
6. Reinforcement drawings
7. Staircase detailed drawings will be provided"
Essential,2060,1990,1,YES,MEP Design,6,"1. Electrical Layout
2. Plumbing Water Line Layout
3. Plumbing Drainage Line Layout"
Essential,2060,1990,1,YES,Flooring & Wall Tiling,7,"1. Living, Kitchen, Dining : Vitrified tiles – Rs.50/- per Sqft
2. Bedrooms, Balcony, Sit-out & Passage Areas : Anti-skid tiles – Rs.40/- per Sqft
3. Toilet Flooring : Anti-skid tiles – Rs.40/- per Sqft
4. Toilet Wall Dado 7ft height : Highlighting Tiles – Rs.40/- per Sqft
5. Kitchen counter top : Granite – Rs.100/- per Sqft
6. Kitchen Wall Dado Up to 2’ above counter : Backsplash tiles – Rs.40/- per Sqft (2’ x 2’ maximum tile size)
7. Setback area tiles – not included
8. Puja Room : Granite slab – Rs.100/- per Sqft"
Essential,2060,1990,1,YES,Painting,8,"1. Internal wall & ceiling : wall putty + primer coat + latest Tractor emulsion paint
2. External walls : primer coat + Ace weather proof paint
3. Brand : Asian / Berger / Dulux"
Essential,2060,1990,1,YES,Electrical,9,"1. Electrical – Light & power points shall be provided as per standards
2. Geyser points – All bathrooms
3. AC provision – Any 1 room
4. Conduits – Good quality, hidden in slabs and walls
5. Fire proof copper wire – Finolex or Polycab. External electrification is not included
6. Switches & Plates – Anchor Roma make
7. A main DB & MCB – IndoAsian / Siemens / Equivalent make"
Essential,2060,1990,1,YES,Plumbing,10,"1. Water supply system – Internal & External Connection for water inlet from corporation
2. External sewage system – Inspection chambers & sewage outlet to site boundary
3. Class B CPVC pipes – Ashirwad / Astral make Solar & Geyser Provision
4. Rain water harvesting facility – Ground water recharge - not included
5. PVC Overhead Tank – Ganga or Equivalent make of basic price Rs 7 per litre
6. Plumbing – GI/RCC Chamber covers shall be provided for IC Separate sewage & drainage lines"
Essential,2060,1990,1,YES,Fixtures,11,"1. Kitchen sink : SS/Granite/Carysil – Rs. 2,500/- per sink
2. Kitchen accessories – Rs. 1,250/- CP & Sanitary fixtures such as Wash Basin, WC, Taps and other accessories like bottle trap, gratings etc.
3. Jaquar/Hindware – Rs. 15,000/- per bathroom attached toilet.
4. Electrical Fixtures – Not included"
Essential,2060,1990,1,YES,Doors,12,"1. Main & Puja Door – Teak Wood frame & shutter including hardware – Rs.40,000/-
2. Internal Door – Sal wood frame & flush shutter including hardware – Rs.7,000/- per door
3. Internal door frames & shutter – Painted only
4. Main, Puja Door – Polished with melamine spray
5. Bathroom Door – Frame & shutter including hardware – Rs.7,000/- per door
6. Door Hardware – Ozone / Europa / Dorma make
7. Door Hinges – SS hinges
8. Door & Door Frame cost – Inclusive of planing, rebate, transportation etc."
Essential,2060,1990,1,YES,Windows,13,"1. Aluminium windows – 4mm clear glass with MS Grills Basic price
2. Aluminium with MS grill – Rs.450/- per Sqft If required, upgrade to wooden windows can be made at an additional cost per Sqft, measured on built-up area. The additional cost can be calculated based on the wooden material chosen by the Client."
